"","assay","primary","colname"
"33","BRCA_miRNASeqGene-20160128","TCGA-A2-A3XX","TCGA-A2-A3XX-01A-21R-A23A-13"
"34","BRCA_miRNASeqGene-20160128","TCGA-A2-A3XY","TCGA-A2-A3XY-01A-11R-A23A-13"
"35","BRCA_miRNASeqGene-20160128","TCGA-A2-A3XZ","TCGA-A2-A3XZ-01A-42R-A23A-13"
"36","BRCA_miRNASeqGene-20160128","TCGA-A2-A3Y0","TCGA-A2-A3Y0-01A-11R-A23A-13"
"37","BRCA_miRNASeqGene-20160128","TCGA-A2-A4S3","TCGA-A2-A4S3-01A-21R-A25Z-13"
"38","BRCA_miRNASeqGene-20160128","TCGA-A7-A0DA","TCGA-A7-A0DA-01A-31R-A114-13"
"39","BRCA_miRNASeqGene-20160128","TCGA-A7-A0DB","TCGA-A7-A0DB-01A-11R-A27D-13"
"40","BRCA_miRNASeqGene-20160128","TCGA-A7-A13D","TCGA-A7-A13D-01A-13R-A27D-13"
"41","BRCA_miRNASeqGene-20160128","TCGA-A7-A13E","TCGA-A7-A13E-01A-11R-A27D-13"
"42","BRCA_miRNASeqGene-20160128","TCGA-A7-A13F","TCGA-A7-A13F-01A-11R-A12O-13"
"43","BRCA_miRNASeqGene-20160128","TCGA-A7-A13G","TCGA-A7-A13G-01A-11R-A13P-13"
"44","BRCA_miRNASeqGene-20160128","TCGA-A7-A26H","TCGA-A7-A26H-01A-11R-A168-13"
"45","BRCA_miRNASeqGene-20160128","TCGA-A7-A26I","TCGA-A7-A26I-01A-11R-A168-13"
"46","BRCA_miRNASeqGene-20160128","TCGA-A7-A26J","TCGA-A7-A26J-01A-11R-A27D-13"
"47","BRCA_miRNASeqGene-20160128","TCGA-A7-A2KD","TCGA-A7-A2KD-01A-31R-A21U-13"
"48","BRCA_miRNASeqGene-20160128","TCGA-A7-A4SD","TCGA-A7-A4SD-01A-11R-A25Z-13"
"49","BRCA_miRNASeqGene-20160128","TCGA-A7-A4SE","TCGA-A7-A4SE-01A-11R-A25Z-13"
"50","BRCA_miRNASeqGene-20160128","TCGA-A7-A4SF","TCGA-A7-A4SF-01A-11R-A25Z-13"
"51","BRCA_miRNASeqGene-20160128","TCGA-A7-A56D","TCGA-A7-A56D-01A-11R-A27U-13"
"52","BRCA_miRNASeqGene-20160128","TCGA-A7-A5ZW","TCGA-A7-A5ZW-01A-12R-A29V-13"
"53","BRCA_miRNASeqGene-20160128","TCGA-A7-A6VV","TCGA-A7-A6VV-01A-22R-A33A-13"
"54","BRCA_miRNASeqGene-20160128","TCGA-A7-A6VW","TCGA-A7-A6VW-01A-21R-A33A-13"
"55","BRCA_miRNASeqGene-20160128","TCGA-A7-A6VX","TCGA-A7-A6VX-01A-12R-A33A-13"
"56","BRCA_miRNASeqGene-20160128","TCGA-A7-A6VY","TCGA-A7-A6VY-01A-12R-A33A-13"
"57","BRCA_miRNASeqGene-20160128","TCGA-AC-A23C","TCGA-AC-A23C-01A-12R-A168-13"
"58","BRCA_miRNASeqGene-20160128","TCGA-AC-A23E","TCGA-AC-A23E-01A-11R-A156-13"
"59","BRCA_miRNASeqGene-20160128","TCGA-AC-A23H","TCGA-AC-A23H-01A-11R-A156-13"
"60","BRCA_miRNASeqGene-20160128","TCGA-AC-A2BK","TCGA-AC-A2BK-01A-11R-A21U-13"
"61","BRCA_miRNASeqGene-20160128","TCGA-AC-A2BM","TCGA-AC-A2BM-01A-11R-A21U-13"
"62","BRCA_miRNASeqGene-20160128","TCGA-AC-A5EH","TCGA-AC-A5EH-01A-11R-A28I-13"
"63","BRCA_miRNASeqGene-20160128","TCGA-AC-A5XU","TCGA-AC-A5XU-01A-11R-A28I-13"
"64","BRCA_miRNASeqGene-20160128","TCGA-AC-A62V","TCGA-AC-A62V-01A-11R-A31S-13"
"65","BRCA_miRNASeqGene-20160128","TCGA-AC-A62X","TCGA-AC-A62X-01A-11R-A29V-13"
"66","BRCA_miRNASeqGene-20160128","TCGA-AC-A6IW","TCGA-AC-A6IW-01A-12R-A33A-13"
"67","BRCA_miRNASeqGene-20160128","TCGA-AC-A6NO","TCGA-AC-A6NO-01A-12R-A33A-13"
"68","BRCA_miRNASeqGene-20160128","TCGA-AC-A7VB","TCGA-AC-A7VB-01A-11R-A358-13"
"69","BRCA_miRNASeqGene-20160128","TCGA-AC-A8OP","TCGA-AC-A8OP-01A-11R-A36A-13"
"70","BRCA_miRNASeqGene-20160128","TCGA-AC-A8OQ","TCGA-AC-A8OQ-01A-11R-A41G-13"
"71","BRCA_miRNASeqGene-20160128","TCGA-AN-A0AT","TCGA-AN-A0AT-01A-11R-A035-13"
"72","BRCA_miRNASeqGene-20160128","TCGA-AO-A03V","TCGA-AO-A03V-01A-11R-A114-13"
"73","BRCA_miRNASeqGene-20160128","TCGA-AO-A12A","TCGA-AO-A12A-01A-21R-A114-13"
"74","BRCA_miRNASeqGene-20160128","TCGA-AO-A12B","TCGA-AO-A12B-01A-11R-A10I-13"
"75","BRCA_miRNASeqGene-20160128","TCGA-AO-A12D","TCGA-AO-A12D-01A-11R-A114-13"
"76","BRCA_miRNASeqGene-20160128","TCGA-AO-A12F","TCGA-AO-A12F-01A-11R-A114-13"
"77","BRCA_miRNASeqGene-20160128","TCGA-AO-A1KP","TCGA-AO-A1KP-01A-11R-A13P-13"
"78","BRCA_miRNASeqGene-20160128","TCGA-AO-A1KQ","TCGA-AO-A1KQ-01A-11R-A13P-13"
"79","BRCA_miRNASeqGene-20160128","TCGA-AO-A1KR","TCGA-AO-A1KR-01A-12R-A143-13"
"80","BRCA_miRNASeqGene-20160128","TCGA-AO-A1KT","TCGA-AO-A1KT-01A-11R-A13P-13"
"81","BRCA_miRNASeqGene-20160128","TCGA-AQ-A0Y5","TCGA-AQ-A0Y5-01A-11R-A14L-13"
"82","BRCA_miRNASeqGene-20160128","TCGA-AQ-A1H2","TCGA-AQ-A1H2-01A-11R-A13P-13"
"83","BRCA_miRNASeqGene-20160128","TCGA-AQ-A1H3","TCGA-AQ-A1H3-01A-31R-A13P-13"
"84","BRCA_miRNASeqGene-20160128","TCGA-AQ-A54N","TCGA-AQ-A54N-01A-11R-A25Z-13"
"85","BRCA_miRNASeqGene-20160128","TCGA-AQ-A54O","TCGA-AQ-A54O-01A-11R-A25Z-13"
"86","BRCA_miRNASeqGene-20160128","TCGA-AR-A0TS","TCGA-AR-A0TS-01A-11R-A114-13"
"87","BRCA_miRNASeqGene-20160128","TCGA-AR-A0TY","TCGA-AR-A0TY-01A-12R-A114-13"
"88","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AH","TCGA-AR-A1AH-01A-11R-A12C-13"
"89","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AJ","TCGA-AR-A1AJ-01A-21R-A12O-13"
"90","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AN","TCGA-AR-A1AN-01A-11R-A12O-13"
"91","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AO","TCGA-AR-A1AO-01A-11R-A12O-13"
"92","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AP","TCGA-AR-A1AP-01A-11R-A12O-13"
"93","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AQ","TCGA-AR-A1AQ-01A-11R-A12O-13"
"94","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AR","TCGA-AR-A1AR-01A-31R-A136-13"
"95","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AS","TCGA-AR-A1AS-01A-11R-A12O-13"
"96","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AU","TCGA-AR-A1AU-01A-11R-A12O-13"
"97","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AV","TCGA-AR-A1AV-01A-21R-A12O-13"
"98","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AW","TCGA-AR-A1AW-01A-21R-A12O-13"
"99","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AX","TCGA-AR-A1AX-01A-11R-A12O-13"
"100","BRCA_miRNASeqGene-20160128","TCGA-AR-A1AY","TCGA-AR-A1AY-01A-21R-A12O-13"
"101","BRCA_miRNASeqGene-20160128","TCGA-AR-A24K","TCGA-AR-A24K-01A-11R-A168-13"
"102","BRCA_miRNASeqGene-20160128","TCGA-AR-A24L","TCGA-AR-A24L-01A-11R-A168-13"
"103","BRCA_miRNASeqGene-20160128","TCGA-AR-A24N","TCGA-AR-A24N-01A-11R-A168-13"
"104","BRCA_miRNASeqGene-20160128","TCGA-AR-A24P","TCGA-AR-A24P-01A-11R-A168-13"
"105","BRCA_miRNASeqGene-20160128","TCGA-AR-A24Q","TCGA-AR-A24Q-01A-12R-A168-13"
"106","BRCA_miRNASeqGene-20160128","TCGA-AR-A24R","TCGA-AR-A24R-01A-11R-A168-13"
"107","BRCA_miRNASeqGene-20160128","TCGA-AR-A24S","TCGA-AR-A24S-01A-11R-A168-13"
"108","BRCA_miRNASeqGene-20160128","TCGA-AR-A24U","TCGA-AR-A24U-01A-11R-A168-13"
"109","BRCA_miRNASeqGene-20160128","TCGA-AR-A24V","TCGA-AR-A24V-01A-21R-A168-13"
"110","BRCA_miRNASeqGene-20160128","TCGA-AR-A24W","TCGA-AR-A24W-01A-11R-A168-13"
"111","BRCA_miRNASeqGene-20160128","TCGA-AR-A24Z","TCGA-AR-A24Z-01A-11R-A168-13"
"112","BRCA_miRNASeqGene-20160128","TCGA-AR-A250","TCGA-AR-A250-01A-31R-A168-13"
"113","BRCA_miRNASeqGene-20160128","TCGA-AR-A251","TCGA-AR-A251-01A-12R-A168-13"
"114","BRCA_miRNASeqGene-20160128","TCGA-AR-A252","TCGA-AR-A252-01A-11R-A168-13"
"115","BRCA_miRNASeqGene-20160128","TCGA-AR-A254","TCGA-AR-A254-01A-21R-A168-13"
"116","BRCA_miRNASeqGene-20160128","TCGA-AR-A255","TCGA-AR-A255-01A-11R-A168-13"
"117","BRCA_miRNASeqGene-20160128","TCGA-AR-A256","TCGA-AR-A256-01A-11R-A168-13"
"118","BRCA_miRNASeqGene-20160128","TCGA-B6-A0I1","TCGA-B6-A0I1-01A-11R-A21U-13"
"119","BRCA_miRNASeqGene-20160128","TCGA-B6-A0RH","TCGA-B6-A0RH-01A-21R-A114-13"
"120","BRCA_miRNASeqGene-20160128","TCGA-B6-A0WS","TCGA-B6-A0WS-01A-11R-A114-13"
"121","BRCA_miRNASeqGene-20160128","TCGA-B6-A1KC","TCGA-B6-A1KC-01B-11R-A156-13"
"122","BRCA_miRNASeqGene-20160128","TCGA-B6-A1KF","TCGA-B6-A1KF-01A-11R-A13P-13"
"123","BRCA_miRNASeqGene-20160128","TCGA-B6-A1KI","TCGA-B6-A1KI-01A-11R-A14L-13"
"124","BRCA_miRNASeqGene-20160128","TCGA-B6-A1KN","TCGA-B6-A1KN-01A-11R-A13P-13"
"125","BRCA_miRNASeqGene-20160128","TCGA-B6-A400","TCGA-B6-A400-01A-11R-A23A-13"
"126","BRCA_miRNASeqGene-20160128","TCGA-B6-A401","TCGA-B6-A401-01A-11R-A23A-13"
"127","BRCA_miRNASeqGene-20160128","TCGA-B6-A402","TCGA-B6-A402-01A-11R-A23A-13"
"128","BRCA_miRNASeqGene-20160128","TCGA-B6-A409","TCGA-B6-A409-01A-11R-A24J-13"
"129","BRCA_miRNASeqGene-20160128","TCGA-BH-A0AU","TCGA-BH-A0AU-01A-11R-A12O-13"
"130","BRCA_miRNASeqGene-20160128","TCGA-BH-A0AV","TCGA-BH-A0AV-01A-31R-A114-13"
"131","BRCA_miRNASeqGene-20160128","TCGA-BH-A0AZ","TCGA-BH-A0AZ-01A-21R-A12O-13"
"132","BRCA_miRNASeqGene-20160128","TCGA-BH-A0B0","TCGA-BH-A0B0-01A-21R-A114-13"
"133","BRCA_miRNASeqGene-20160128","TCGA-BH-A0B6","TCGA-BH-A0B6-01A-11R-A19V-13"
"134","BRCA_miRNASeqGene-20160128","TCGA-BH-A0B7","TCGA-BH-A0B7-01A-12R-A114-13"
"135","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BF","TCGA-BH-A0BF-01A-21R-A12O-13"
"136","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BG","TCGA-BH-A0BG-01A-11R-A114-13"
"137","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BL","TCGA-BH-A0BL-01A-11R-A114-13"
"138","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BO","TCGA-BH-A0BO-01A-23R-A12C-13"
"139","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BP","TCGA-BH-A0BP-01A-11R-A114-13"
"140","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BQ","TCGA-BH-A0BQ-01A-21R-A114-13"
"141","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BR","TCGA-BH-A0BR-01A-21R-A114-13"
"142","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BS","TCGA-BH-A0BS-01A-11R-A12O-13"
"143","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BT","TCGA-BH-A0BT-01A-11R-A12O-13"
"144","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BW","TCGA-BH-A0BW-01A-11R-A114-13"
"145","BRCA_miRNASeqGene-20160128","TCGA-BH-A0BZ","TCGA-BH-A0BZ-01A-31R-A12O-13"
"146","BRCA_miRNASeqGene-20160128","TCGA-BH-A0C7","TCGA-BH-A0C7-01B-11R-A114-13"
"147","BRCA_miRNASeqGene-20160128","TCGA-BH-A0DD","TCGA-BH-A0DD-01A-31R-A12O-13"
"148","BRCA_miRNASeqGene-20160128","TCGA-BH-A0DE","TCGA-BH-A0DE-01A-11R-A114-13"
"149","BRCA_miRNASeqGene-20160128","TCGA-BH-A0DG","TCGA-BH-A0DG-01A-21R-A12O-13"
"150","BRCA_miRNASeqGene-20160128","TCGA-BH-A0DI","TCGA-BH-A0DI-01A-21R-A12O-13"
"151","BRCA_miRNASeqGene-20160128","TCGA-BH-A0DO","TCGA-BH-A0DO-01B-11R-A12C-13"
"152","BRCA_miRNASeqGene-20160128","TCGA-BH-A0DT","TCGA-BH-A0DT-01A-21R-A12C-13"
"153","BRCA_miRNASeqGene-20160128","TCGA-BH-A0DV","TCGA-BH-A0DV-01A-21R-A12O-13"
"154","BRCA_miRNASeqGene-20160128","TCGA-BH-A0DX","TCGA-BH-A0DX-01A-11R-A114-13"
"155","BRCA_miRNASeqGene-20160128","TCGA-BH-A0E2","TCGA-BH-A0E2-01A-11R-A057-13"
"156","BRCA_miRNASeqGene-20160128","TCGA-BH-A0EA","TCGA-BH-A0EA-01A-11R-A114-13"
"157","BRCA_miRNASeqGene-20160128","TCGA-BH-A0EI","TCGA-BH-A0EI-01A-11R-A114-13"
"158","BRCA_miRNASeqGene-20160128","TCGA-BH-A0H3","TCGA-BH-A0H3-01A-11R-A12O-13"
"159","BRCA_miRNASeqGene-20160128","TCGA-BH-A0H5","TCGA-BH-A0H5-01A-21R-A114-13"
"160","BRCA_miRNASeqGene-20160128","TCGA-BH-A0HA","TCGA-BH-A0HA-01A-11R-A12O-13"
"161","BRCA_miRNASeqGene-20160128","TCGA-BH-A0HL","TCGA-BH-A0HL-01A-11R-A10V-13"
"162","BRCA_miRNASeqGene-20160128","TCGA-BH-A0HN","TCGA-BH-A0HN-01A-11R-A10V-13"
"163","BRCA_miRNASeqGene-20160128","TCGA-BH-A0W7","TCGA-BH-A0W7-01A-11R-A114-13"
"164","BRCA_miRNASeqGene-20160128","TCGA-BH-A18F","TCGA-BH-A18F-01A-11R-A12C-13"
"165","BRCA_miRNASeqGene-20160128","TCGA-BH-A18G","TCGA-BH-A18G-01A-11R-A12C-13"
"166","BRCA_miRNASeqGene-20160128","TCGA-BH-A18H","TCGA-BH-A18H-01A-11R-A12C-13"
"167","BRCA_miRNASeqGene-20160128","TCGA-BH-A18I","TCGA-BH-A18I-01A-11R-A12C-13"
"168","BRCA_miRNASeqGene-20160128","TCGA-BH-A18J","TCGA-BH-A18J-01A-11R-A12C-13"
"169","BRCA_miRNASeqGene-20160128","TCGA-BH-A18K","TCGA-BH-A18K-01A-11R-A12C-13"
"170","BRCA_miRNASeqGene-20160128","TCGA-BH-A18L","TCGA-BH-A18L-01A-32R-A12C-13"
"171","BRCA_miRNASeqGene-20160128","TCGA-BH-A18M","TCGA-BH-A18M-01A-11R-A12C-13"
"172","BRCA_miRNASeqGene-20160128","TCGA-BH-A18N","TCGA-BH-A18N-01A-11R-A12C-13"
"173","BRCA_miRNASeqGene-20160128","TCGA-BH-A18P","TCGA-BH-A18P-01A-11R-A12C-13"
"174","BRCA_miRNASeqGene-20160128","TCGA-BH-A18Q","TCGA-BH-A18Q-01A-12R-A12C-13"
"175","BRCA_miRNASeqGene-20160128","TCGA-BH-A18R","TCGA-BH-A18R-01A-11R-A12C-13"
"176","BRCA_miRNASeqGene-20160128","TCGA-BH-A18T","TCGA-BH-A18T-01A-11R-A12C-13"
"177","BRCA_miRNASeqGene-20160128","TCGA-BH-A18U","TCGA-BH-A18U-01A-21R-A12C-13"
"178","BRCA_miRNASeqGene-20160128","TCGA-BH-A18V","TCGA-BH-A18V-01A-11R-A12C-13"
"179","BRCA_miRNASeqGene-20160128","TCGA-BH-A1EN","TCGA-BH-A1EN-01A-11R-A13P-13"
"180","BRCA_miRNASeqGene-20160128","TCGA-BH-A1ES","TCGA-BH-A1ES-01A-11R-A136-13"
"181","BRCA_miRNASeqGene-20160128","TCGA-BH-A1ET","TCGA-BH-A1ET-01A-11R-A136-13"
"182","BRCA_miRNASeqGene-20160128","TCGA-BH-A1EU","TCGA-BH-A1EU-01A-11R-A136-13"
"183","BRCA_miRNASeqGene-20160128","TCGA-BH-A1EV","TCGA-BH-A1EV-01A-11R-A136-13"
"184","BRCA_miRNASeqGene-20160128","TCGA-BH-A1EW","TCGA-BH-A1EW-01A-11R-A136-13"
"185","BRCA_miRNASeqGene-20160128","TCGA-BH-A1EX","TCGA-BH-A1EX-01A-11R-A13P-13"
"186","BRCA_miRNASeqGene-20160128","TCGA-BH-A1EY","TCGA-BH-A1EY-01A-11R-A13P-13"
"187","BRCA_miRNASeqGene-20160128","TCGA-BH-A1F0","TCGA-BH-A1F0-01A-11R-A136-13"
"188","BRCA_miRNASeqGene-20160128","TCGA-BH-A1F2","TCGA-BH-A1F2-01A-31R-A13P-13"
"189","BRCA_miRNASeqGene-20160128","TCGA-BH-A1F5","TCGA-BH-A1F5-01A-12R-A13P-13"
"190","BRCA_miRNASeqGene-20160128","TCGA-BH-A1F6","TCGA-BH-A1F6-01A-11R-A13P-13"
"191","BRCA_miRNASeqGene-20160128","TCGA-BH-A1F8","TCGA-BH-A1F8-01A-11R-A13P-13"
"192","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FB","TCGA-BH-A1FB-01A-11R-A13P-13"
"193","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FE","TCGA-BH-A1FE-01A-11R-A13P-13"
"194","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FG","TCGA-BH-A1FG-01A-11R-A13P-13"
"195","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FH","TCGA-BH-A1FH-01A-12R-A13P-13"
"196","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FJ","TCGA-BH-A1FJ-01A-11R-A13P-13"
"197","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FL","TCGA-BH-A1FL-01A-11R-A13P-13"
"198","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FM","TCGA-BH-A1FM-01A-11R-A13P-13"
"199","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FN","TCGA-BH-A1FN-01A-11R-A13P-13"
"200","BRCA_miRNASeqGene-20160128","TCGA-BH-A1FU","TCGA-BH-A1FU-01A-11R-A14C-13"
"201","BRCA_miRNASeqGene-20160128","TCGA-BH-A201","TCGA-BH-A201-01A-11R-A14L-13"
"202","BRCA_miRNASeqGene-20160128","TCGA-BH-A202","TCGA-BH-A202-01A-11R-A14L-13"
"203","BRCA_miRNASeqGene-20160128","TCGA-BH-A203","TCGA-BH-A203-01A-12R-A168-13"
"204","BRCA_miRNASeqGene-20160128","TCGA-BH-A204","TCGA-BH-A204-01A-11R-A156-13"
"205","BRCA_miRNASeqGene-20160128","TCGA-BH-A208","TCGA-BH-A208-01A-11R-A156-13"
"206","BRCA_miRNASeqGene-20160128","TCGA-BH-A42V","TCGA-BH-A42V-01A-11R-A24J-13"
"207","BRCA_miRNASeqGene-20160128","TCGA-BH-A5IZ","TCGA-BH-A5IZ-01A-11R-A27U-13"
"208","BRCA_miRNASeqGene-20160128","TCGA-BH-A5J0","TCGA-BH-A5J0-01A-11R-A27U-13"
"209","BRCA_miRNASeqGene-20160128","TCGA-BH-A6R8","TCGA-BH-A6R8-01A-21R-A33A-13"
"210","BRCA_miRNASeqGene-20160128","TCGA-C8-A12K","TCGA-C8-A12K-01A-21R-A114-13"
"211","BRCA_miRNASeqGene-20160128","TCGA-C8-A12L","TCGA-C8-A12L-01A-11R-A114-13"
"212","BRCA_miRNASeqGene-20160128","TCGA-C8-A12M","TCGA-C8-A12M-01A-11R-A114-13"
"213","BRCA_miRNASeqGene-20160128","TCGA-C8-A12N","TCGA-C8-A12N-01A-11R-A114-13"
"214","BRCA_miRNASeqGene-20160128","TCGA-C8-A12O","TCGA-C8-A12O-01A-11R-A114-13"
"215","BRCA_miRNASeqGene-20160128","TCGA-C8-A12P","TCGA-C8-A12P-01A-11R-A114-13"
"216","BRCA_miRNASeqGene-20160128","TCGA-C8-A12Q","TCGA-C8-A12Q-01A-11R-A114-13"
"217","BRCA_miRNASeqGene-20160128","TCGA-C8-A12T","TCGA-C8-A12T-01A-11R-A114-13"
"218","BRCA_miRNASeqGene-20160128","TCGA-C8-A12U","TCGA-C8-A12U-01A-11R-A114-13"
"219","BRCA_miRNASeqGene-20160128","TCGA-C8-A12V","TCGA-C8-A12V-01A-11R-A114-13"
"220","BRCA_miRNASeqGene-20160128","TCGA-C8-A12W","TCGA-C8-A12W-01A-11R-A114-13"
"221","BRCA_miRNASeqGene-20160128","TCGA-C8-A12Y","TCGA-C8-A12Y-01A-11R-A12C-13"
"222","BRCA_miRNASeqGene-20160128","TCGA-C8-A12Z","TCGA-C8-A12Z-01A-11R-A114-13"
"223","BRCA_miRNASeqGene-20160128","TCGA-C8-A130","TCGA-C8-A130-01A-31R-A114-13"
"224","BRCA_miRNASeqGene-20160128","TCGA-C8-A131","TCGA-C8-A131-01A-11R-A114-13"
"225","BRCA_miRNASeqGene-20160128","TCGA-C8-A132","TCGA-C8-A132-01A-31R-A114-13"
"226","BRCA_miRNASeqGene-20160128","TCGA-C8-A134","TCGA-C8-A134-01A-11R-A114-13"
"227","BRCA_miRNASeqGene-20160128","TCGA-C8-A135","TCGA-C8-A135-01A-11R-A114-13"
"228","BRCA_miRNASeqGene-20160128","TCGA-C8-A137","TCGA-C8-A137-01A-11R-A114-13"
"229","BRCA_miRNASeqGene-20160128","TCGA-C8-A138","TCGA-C8-A138-01A-11R-A114-13"
"230","BRCA_miRNASeqGene-20160128","TCGA-C8-A1HE","TCGA-C8-A1HE-01A-11R-A13P-13"
"231","BRCA_miRNASeqGene-20160128","TCGA-C8-A1HF","TCGA-C8-A1HF-01A-11R-A136-13"
"232","BRCA_miRNASeqGene-20160128","TCGA-C8-A1HG","TCGA-C8-A1HG-01A-11R-A136-13"
"233","BRCA_miRNASeqGene-20160128","TCGA-C8-A1HI","TCGA-C8-A1HI-01A-11R-A136-13"
"234","BRCA_miRNASeqGene-20160128","TCGA-C8-A1HJ","TCGA-C8-A1HJ-01A-11R-A13P-13"
"235","BRCA_miRNASeqGene-20160128","TCGA-C8-A1HK","TCGA-C8-A1HK-01A-21R-A13P-13"
"236","BRCA_miRNASeqGene-20160128","TCGA-C8-A1HM","TCGA-C8-A1HM-01A-12R-A136-13"
"237","BRCA_miRNASeqGene-20160128","TCGA-C8-A1HN","TCGA-C8-A1HN-01A-11R-A136-13"
